method	n_cluster	seed	ari_value
Onehot-based	20	7	0.09917879167115194
Onehot-based	20	8	0.09439832759741092
Onehot-based	20	9	0.09717970993815322
wNMF-based	20	0	0.07099917031128045
wNMF-based	20	1	0.07053127010940374
wNMF-based	20	2	0.07267989516467484
wNMF-based	20	3	0.06890755730945258
wNMF-based	20	4	0.07683294720936938
wNMF-based	20	5	0.07378677940360148
wNMF-based	20	6	0.06906981631613253
wNMF-based	20	7	0.07195240249798926
wNMF-based	20	8	0.06972743471140884
wNMF-based	20	9	0.07499885919604016
